"p5.js中,哪個函數在程式開始時只運行一次?","setup()","draw()","preload()","mousePressed()","A"
"哪個函數會不斷重複執行,用於繪製畫面?","setup()","draw()","mouseClicked()","keyTyped()","B"
"用於載入外部檔案(如圖片或CSV)的函數是?","createCanvas()","background()","preload()","fill()","C"
"設定畫布大小的函數是?","setSize()","canvas()","createCanvas()","window()","C"
"改變圖形填充顏色的函數是?","fill()","stroke()","rect()","color()","A"
"p5.js的畫布原點(0,0)在哪個位置?","左上角","右下角","中心","左下角","A"
"哪個函數可以偵測滑鼠是否被按下?","mousePressed()","mouseClicked()","keyPressed()","mouseDown()","A"
"若要在畫布上畫出圓形,應使用哪個函數?","square()","circle()","ellipse()","arc()","C"
"要在畫布上設定背景顏色,使用哪個函數?","background()","fill()","color()","paint()","A"
"要讓圖形邊框消失,可使用哪個函數?","noFill()","noStroke()","clear()","hide()","B"
